,MSZoning,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Functional,GarageType,SaleType,SaleCondition,Street,LotShape,HouseStyle,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,GarageFinish,GarageQual,GarageCond,PavedDrive,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
10,4,0,4,0,9,2,2,0,1,1,7,7,6,5,8,4,0.0,3.0,5.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,50,50.0,8600,6,6,1937,1950,1937.0,0,0,780,780,780,596,0,1376,0,0,2,0,3,1,7,1,1.0,1,198,0,0,0,0,0,0,0,6,2006,119500
11,3,3,1,0,5,2,2,0,1,1,11,12,6,1,8,4,0.0,2.0,0.0,1.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,60,44.0,9548,7,6,2003,2003,2003.0,483,0,458,941,941,888,0,1829,1,0,2,1,3,1,7,1,1.0,2,613,192,39,0,0,0,0,0,1,2010,237000
12,3,3,4,0,11,2,2,0,1,1,11,12,6,1,8,4,0.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,129.0,9196,7,5,2003,2003,2003.0,0,0,1560,1560,1560,0,0,1560,0,0,2,0,3,1,7,0,0.0,2,573,100,150,0,0,0,0,0,4,2010,201000
13,3,3,4,0,12,2,2,0,1,1,7,7,6,5,0,4,0.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,80.0,8892,5,5,1960,1960,1960.0,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,0.0,2,461,74,0,0,0,0,0,0,7,2007,126500
14,3,3,4,0,7,2,2,0,1,1,7,7,6,1,8,4,0.0,2.0,5.0,0.0,1.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,50,59.0,16466,5,7,1955,1955,1955.0,0,0,816,816,872,521,0,1393,0,0,1,1,3,1,8,0,0.0,1,300,121,0,0,0,265,0,0,4,2008,135500
15,3,3,4,0,6,2,2,0,3,1,12,13,6,5,8,4,0.0,3.0,0.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,70,55.0,10592,6,7,1923,1996,1923.0,0,0,602,602,900,602,0,1502,0,0,1,1,3,1,7,2,2.0,1,180,96,0,112,0,53,0,0,8,2007,165000
16,4,3,0,0,9,2,2,0,1,1,12,13,6,5,8,4,0.0,3.0,3.0,0.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,30,70.98846960167715,5890,6,8,1930,2007,1930.0,538,0,278,816,816,0,0,816,0,0,1,0,2,1,5,0,0.0,1,432,0,0,96,0,0,0,0,6,2008,120500
17,3,3,4,0,5,2,2,0,1,1,11,12,6,1,8,4,0.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,64.0,7314,7,5,2007,2007,2007.0,724,0,508,1232,1232,0,0,1232,1,0,2,0,2,1,6,0,0.0,2,632,132,0,0,0,0,0,0,2,2009,194500
18,3,3,0,0,7,2,2,0,3,1,5,5,6,1,8,4,0.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,20,70.98846960167715,7917,6,7,1976,1976,1976.0,751,0,392,1143,1113,0,0,1113,1,0,1,1,3,1,6,1,1.0,1,504,370,30,0,0,0,0,0,5,2007,148000
19,4,3,4,0,2,2,2,4,1,1,5,5,6,5,8,4,0.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,160,24.0,2016,5,5,1970,1970,1970.0,0,0,630,630,630,672,0,1302,0,0,2,1,3,1,6,0,0.0,2,440,0,0,0,0,0,0,0,4,2007,106000
20,3,3,4,0,5,2,2,0,1,1,11,12,6,1,8,4,0.0,3.0,0.0,1.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,60,80.0,12435,7,5,2001,2001,2001.0,361,0,602,963,963,829,0,1792,0,0,2,1,3,1,7,1,1.0,2,564,0,96,0,245,0,0,0,5,2008,231500
21,3,3,0,0,5,2,2,0,1,1,5,14,6,5,8,4,0.0,3.0,6.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,85,70.0,8445,5,7,1972,2007,1972.0,656,0,112,768,768,0,0,768,1,0,1,0,2,1,5,0,0.0,2,396,58,0,0,0,0,0,0,3,2009,133000
22,3,3,4,0,12,2,2,0,3,1,7,7,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,20,68.0,9717,5,6,1950,1996,1950.0,49,1029,0,1078,1078,0,0,1078,1,0,1,0,2,1,5,0,0.0,1,240,366,0,112,0,0,0,0,4,2010,142125
23,3,3,4,0,12,2,2,0,3,1,12,13,6,1,0,4,0.0,2.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,70.98846960167715,10659,5,6,1961,1961,1961.0,915,0,135,1050,1050,0,0,1050,1,0,1,0,3,1,6,0,0.0,1,368,0,319,0,0,0,0,0,1,2006,136500
24,3,3,0,0,12,1,2,0,3,1,7,7,6,5,8,4,0.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,71.0,9230,5,8,1965,1998,1965.0,661,0,203,864,1200,0,0,1200,1,0,1,1,1,1,6,0,0.0,2,884,0,64,0,0,0,0,0,10,2006,146000
25,3,0,0,0,6,2,2,0,3,1,12,13,6,2,0,0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,70.98846960167715,21000,6,5,1953,1953,1953.0,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2.0,2,450,166,120,192,0,0,0,0,10,2007,217000
26,3,3,4,0,19,2,2,0,1,1,12,13,6,1,8,4,0.0,3.0,3.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,30,70.98846960167715,25339,5,7,1918,2007,1918.0,0,0,816,816,1416,0,0,1416,0,0,2,0,3,1,7,0,0.0,2,576,0,0,112,0,0,0,0,8,2007,112000
27,3,3,0,0,22,2,2,0,3,1,11,12,6,1,6,5,0.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,20,88.0,11394,9,2,2010,2010,2010.0,1445,0,411,1856,1856,0,0,1856,1,0,1,1,1,1,8,1,1.0,3,834,113,0,0,0,0,0,0,6,2010,394432
28,4,3,4,0,3,2,2,0,1,1,7,7,6,5,8,4,0.0,3.0,4.0,0.0,1.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,45,58.0,6380,5,6,1922,1950,1922.0,0,0,993,993,1048,0,0,1048,0,0,1,0,2,1,5,1,1.0,1,280,0,0,116,0,0,0,0,8,2006,113000
29,3,1,4,1,6,2,2,0,3,1,10,11,6,5,8,4,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,70,74.0,11988,6,7,1934,1995,1934.0,326,0,389,715,849,811,0,1660,0,0,1,1,3,1,6,1,1.0,1,240,0,0,0,0,0,0,0,8,2008,188700
30,3,3,4,0,16,2,2,4,3,1,7,7,6,1,8,4,0.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,120,61.0,7658,9,5,2005,2005,2005.0,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,1.0,2,576,196,82,0,0,0,0,0,2,2010,319900
31,4,1,4,0,17,2,2,0,1,1,5,5,6,5,8,4,0.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,60,60.0,3378,7,8,1946,1992,1946.0,0,0,651,651,707,682,0,1389,0,0,1,1,3,1,6,2,2.0,1,240,0,0,126,0,0,0,0,9,2009,135000
32,3,3,4,0,19,1,5,2,5,1,8,9,6,3,8,4,0.0,2.0,5.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,90,70.98846960167715,18890,5,5,1977,1977,1977.0,498,211,652,1361,1361,1259,0,2620,0,0,2,2,4,2,12,1,1.0,2,600,155,24,145,0,0,0,8300,8,2007,190000
33,4,3,4,0,17,1,2,0,1,1,7,7,6,5,8,4,0.0,2.0,5.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,2.0,2.0,50,70.98846960167715,12358,5,6,1941,1950,1941.0,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,0.0,2,660,237,0,0,0,0,0,0,5,2007,128500
34,3,3,0,0,8,1,2,0,1,1,8,9,6,1,8,4,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,60,70.98846960167715,14762,5,6,1948,1950,1948.0,0,0,0,0,1547,720,53,2320,0,0,2,0,2,1,7,1,1.0,2,672,120,144,0,0,0,0,0,5,2006,169000
35,3,3,0,0,5,2,2,0,1,1,5,5,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,120.0,10356,5,6,1975,1975,1975.0,716,0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,0.0,2,440,0,0,0,0,0,0,0,1,2007,122000
36,3,3,4,0,14,2,2,0,1,1,5,5,6,1,8,3,0.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,80.0,10400,7,5,1976,1976,1976.0,0,0,1090,1090,1370,0,0,1370,0,0,2,0,3,1,6,1,1.0,2,479,0,0,0,0,0,0,0,6,2009,152000
37,3,3,0,0,7,2,2,0,1,1,13,14,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,84.0,12615,6,7,1950,2001,1950.0,477,0,725,1202,2158,0,0,2158,1,0,2,0,4,1,7,1,1.0,2,576,0,29,39,0,0,0,0,6,2007,243000
38,3,3,1,0,11,2,2,0,1,1,11,12,6,1,8,4,0.0,2.0,6.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,85,70.98846960167715,7540,6,6,1978,1978,1978.0,773,0,115,888,912,0,0,912,1,0,1,0,2,1,5,1,1.0,2,470,0,0,0,0,192,0,0,6,2007,156000
39,4,3,4,0,3,6,1,0,1,1,11,12,6,5,8,4,0.0,3.0,3.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,40,50.0,9100,5,6,1930,1960,1930.0,0,0,742,742,779,0,156,935,0,0,1,0,2,1,4,0,0.0,1,308,0,0,0,0,0,0,600,8,2008,79500
40,3,3,0,0,12,2,2,0,3,1,3,9,6,1,8,4,0.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,20,141.0,31770,6,5,1960,1960,1960.0,639,0,441,1080,1656,0,0,1656,1,0,1,0,3,1,7,2,2.0,2,528,210,62,0,0,0,0,0,5,2010,215000
41,3,3,4,0,12,2,2,0,3,1,12,13,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,70.0,13300,5,7,1956,2000,1956.0,377,0,551,928,928,0,0,928,0,0,1,0,2,1,4,0,0.0,1,252,261,0,156,0,0,0,0,6,2007,132000
42,1,3,4,0,21,2,2,4,1,1,7,7,6,5,8,0,0.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,160,30.0,3180,7,5,2005,2005,2005.0,0,0,600,600,520,600,80,1200,0,0,2,1,2,1,4,0,0.0,2,480,0,166,0,0,0,0,0,4,2006,144152
43,4,3,4,0,7,2,2,3,1,1,11,12,0,5,8,4,0.0,3.0,0.0,2.0,2.0,2.0,5.0,3.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,160,24.0,2522,6,5,2004,2006,2004.0,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,0.0,2,380,0,40,0,0,0,0,0,4,2006,130000
44,3,3,4,0,5,2,2,0,1,1,5,5,6,1,8,4,0.0,3.0,7.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,80,65.0,8385,5,8,1977,1977,1977.0,595,0,390,985,985,0,0,985,0,0,2,0,3,1,6,0,0.0,1,328,210,0,0,0,0,0,0,11,2008,149900
45,3,3,0,0,11,2,2,0,1,1,5,6,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,76.0,8314,5,7,1982,1982,1982.0,546,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,0.0,1,264,168,0,0,0,0,0,0,6,2007,124500
46,3,3,4,0,8,6,2,0,1,1,11,12,6,1,8,4,0.0,2.0,0.0,1.0,1.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,60,60.0,8123,6,5,2000,2000,2000.0,0,0,982,982,1007,793,0,1800,0,0,2,1,3,1,7,1,1.0,2,463,100,63,0,0,0,0,0,6,2009,179000
47,4,3,4,0,17,2,2,0,1,1,7,7,6,1,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,20,100.0,12000,5,7,1948,2005,1948.0,144,608,172,924,1122,0,0,1122,1,0,1,0,2,1,6,0,0.0,2,528,0,36,0,0,0,0,0,5,2008,147000
48,3,2,4,1,3,2,2,0,1,1,11,12,6,1,8,4,0.0,3.0,3.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,20,50.0,5000,1,3,1946,1950,1946.0,0,0,0,0,334,0,0,334,0,0,1,0,1,1,2,0,0.0,0,0,0,0,0,0,0,0,0,1,2007,39300
49,3,3,4,0,12,2,2,0,1,1,3,13,6,5,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,20,70.0,7931,5,6,1960,1960,1960.0,374,532,363,1269,1269,0,0,1269,0,0,1,1,3,1,6,1,1.0,1,308,0,0,0,0,0,0,0,6,2008,155000
50,3,3,4,0,23,2,2,0,3,1,11,12,6,1,8,4,0.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,85.0,14331,8,5,2002,2002,2002.0,1274,0,526,1800,1800,0,0,1800,1,0,2,0,3,1,7,1,1.0,3,765,270,78,0,0,0,0,0,5,2006,312500
51,4,3,0,0,17,2,2,0,1,1,3,13,4,5,8,4,0.0,3.0,5.0,0.0,2.0,3.0,4.0,3.0,2.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,50,60.0,10440,6,7,1920,1950,1920.0,493,0,1017,1510,1584,1208,0,2792,0,0,2,0,5,1,8,2,2.0,2,520,0,547,0,0,480,0,1150,6,2008,256000
52,3,0,4,0,18,2,2,0,1,1,12,13,6,5,8,4,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,30,60.0,8400,2,5,1920,1950,1920.0,290,0,0,290,438,0,0,438,0,0,1,0,1,1,3,0,0.0,1,246,0,0,0,0,0,0,0,1,2009,60000
53,3,3,4,0,12,2,2,0,3,1,7,7,6,5,8,4,0.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,64.0,8712,5,7,1957,2000,1957.0,860,0,132,992,1306,0,0,1306,1,0,1,0,2,1,5,0,0.0,1,756,0,0,0,0,0,0,0,5,2009,153000
54,3,2,4,0,7,2,2,0,1,1,7,7,6,5,8,0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,60.0,11100,4,7,1946,2006,1946.0,0,0,0,0,930,0,0,930,0,0,1,0,2,1,6,0,0.0,1,308,0,0,0,0,0,0,0,4,2010,84900
55,3,3,4,0,5,2,2,0,3,1,11,12,6,1,8,4,0.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,20,75.0,9742,8,5,2002,2002,2002.0,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,1.0,2,534,171,159,0,0,0,0,0,9,2008,230000
56,3,3,4,0,12,3,2,0,1,1,8,9,2,1,8,4,0.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,70.98846960167715,19900,7,5,1970,1989,1970.0,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,1.0,2,576,301,0,0,0,0,0,0,7,2010,180000
57,3,3,4,0,15,2,2,0,1,1,5,5,6,1,8,4,0.0,2.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,60,107.0,10186,7,5,1992,1992,1992.0,674,0,76,750,1061,862,0,1923,1,0,2,1,3,1,8,1,1.0,2,564,240,39,0,0,0,0,0,6,2010,190000
58,4,3,4,0,9,2,2,0,1,1,12,13,6,5,8,0,0.0,3.0,3.0,0.0,1.0,2.0,4.0,3.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,2.0,2.0,30,50.0,8765,4,6,1936,1950,1936.0,285,0,666,951,951,0,0,951,0,0,1,0,2,1,6,0,0.0,1,327,0,28,0,0,0,0,0,4,2006,106500
59,3,3,0,0,5,2,2,0,1,1,11,12,6,1,8,4,0.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,20,122.0,11923,9,5,2007,2007,2007.0,0,0,1800,1800,1800,0,0,1800,0,0,2,0,2,1,7,0,0.0,2,702,288,136,0,0,0,0,0,5,2009,239000
60,3,3,4,0,12,2,2,0,1,1,11,12,4,5,8,4,0.0,3.0,3.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,20,60.0,7200,5,7,1955,2007,1955.0,0,0,0,0,827,0,0,827,0,0,1,0,2,1,5,1,1.0,1,392,0,0,0,0,0,0,0,4,2010,107500
61,3,3,4,0,12,2,2,0,1,1,5,5,6,1,8,4,0.0,3.0,6.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,85,68.0,7838,5,5,1967,1967,1967.0,769,0,95,864,900,0,0,900,1,0,1,0,3,1,6,1,1.0,1,288,175,144,0,0,0,0,0,12,2006,123000
